Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
the little mermaid ,7.6, ron clements john musker, john musker ron clements , jodi benson samuel e wright rene auberjonois ,fork 2d animation mermaid princess old english sheepdog,83,Animation,-1989,233459
the naked gun from the files of police squad ,7.6, david zucker, jerry zucker jim abrahams , leslie nielsen priscilla presley oj simpson ,spoof slapstick comedy parody assassin terrorist,85,Comedy,-1988,149844
dangerous liaisons ,7.6, stephen frears, christopher hampton , glenn close john malkovich michelle pfeiffer ,seduction emotional abuse france sexual manipulation nipples,119,Drama,-1988,63696
planes trains and automobiles ,7.6, john hughes, john hughes, steve martin john candy laila robins ,airport road movie on the road train airplane,93,Comedy,-1987,120095
lethal weapon ,7.6, richard donner, shane black, mel gibson danny glover gary busey ,police police officer breasts police partner female nudity,109,Action,-1987,233411
the fly ,7.6, david cronenberg, george langelaan , jeff goldblum geena davis john getz ,teleportation woman takes off stocking body horror genetic alteration metamorphosis,96,Drama,-1986,156831
indiana jones and the temple of doom ,7.6, steven spielberg, willard huyck , harrison ford kate capshaw ke huy quan ,india white dinner jacket beating heart voodoo doll 1930s,118,Action,-1984,441089
blood simple ,7.6, joel coen ethan coen uncredited, joel coen ethan coen, john getz frances mcdormand dan hedaya ,double cross neo noir texas private detective crime gone awry,99,Crime,-1984,86103
the secret of nimh ,7.6, don bluth, robert c obrien , elizabeth hartman derek jacobi dom deluise ,mouse three monkeys balladeer courage based on novel,82,Animation,-1982,35703
on golden pond ,7.6, mark rydell, ernest thompson , katharine hepburn henry fonda jane fonda ,motherhood teenage boy 1980s nostalgia character appears in newspaper,109,Drama,-1981,27191
the road warrior ,7.6, george miller, terry hayes , mel gibson bruce spence michael preston ,post apocalypse gasoline car truck chase car chase refinery,96,Action,-1981,164377
the warriors ,7.6, walter hill, sol yurick , michael beck james remar dorsey wright ,new york city street gang disc jockey warrior police,92,Action,-1979,92400
the muppet movie ,7.6, james frawley, jerry juhl jack burns, jim henson frank oz jerry nelson ,the muppets hare krishna national film registry troubled production charlie mccarthy character,95,Adventure,-1979,32142
escape from alcatraz ,7.6, don siegel as donald siegel, j campbell bruce , clint eastwood patrick mcgoohan roberts blossom ,prison island escape alcatraz prison inmate,112,Action,-1979,118600
watership down ,7.6, martin rosen john hubley uncredited, richard adams , john hurt richard briers ralph richardson ,rabbit vision cult film sadness threat,91,Animation,-1978,33222
midnight express ,7.6, alan parker, oliver stone , brad davis irene miracle bo hopkins ,watching someone masturbate social masturbation male in underwear bare chested male 1970s,121,Biography,-1978,72584
